#==============================================================================
# DATASET #0
#==============================================================================
0 0
0 0
0 0
0 0
0 0
23 -1.26076
35 -1.72322
35 -1.35843
40 -1.23702
43 -1.22087
44 -2.51355
44 -1.10603
55 -1.62113
63 -1.0669
64 -1.38919
65 -1.16345
66 -1.80879
74 -1.60488
78 -1.1282
80 -1.63476
82 -2.46245
82 -1.15504
93 -1.9459
101 -1.22761
103 -1.01078
117 -1.09763
119 -1.37875
121 -2.26378
121 -1.51714
137 -1.5289
138 -1.09824
164 -1.81214
171 -1.32245
171 -1.17971
174 -1.47862
189 -1.06333
190 -1.37278
196 -2.62575
219 0
219 0
219 0
219 0
219 0


#==============================================================================
# DATASET #1
#==============================================================================
0 0
23 0
35 0
44 0
55 0
66 0
74 0
82 0
93 0
101 0
121 0
137 0
164 0
174 0
190 0
196 0
219 0


